USA-35B AIRFOIL
     17.     17.

 0.0000000  0.0000000
 0.0118661  0.0242210
 0.0241089  0.0341469
 0.0487288  0.0489005
 0.0734225  0.0608551
 0.0982031  0.0695109
 0.1478934  0.0819241
 0.1976864  0.0904386
 0.2975252  0.0978710
 0.3975801  0.0971063
 0.4978325  0.0888442
 0.5981982  0.0762835
 0.6986192  0.0616236
 0.7991271  0.0436648
 0.8996983  0.0233069
 0.9500023  0.0124282
 1.0003142  0.0012496

 0.0000000  0.0000000
 0.0129514 -0.0169647
 0.0255524 -0.0206341
 0.0506359 -0.0234744
 0.0756641 -0.0242153
 0.1006739 -0.0242566
 0.1506750 -0.0236393
 0.2006418 -0.0217225
 0.3005834 -0.0181887
 0.4005197 -0.0144550
 0.5004508 -0.0105213
 0.6004003 -0.0072875
 0.7003735 -0.0049533
 0.8003572 -0.0030190
 0.9003620 -0.0018843
 0.9503658 -0.0013670
 1.0003800 -0.0012496
